n,runtime rrt*,runtime proposed,distance rrt*,distance proposed
0,0.006344318389892578,0.013911008834838867,6.945010361930756,11.452862957802223
1,0.009210824966430664,0.042292118072509766,6.23485554282518,10.903226537890143
2,0.007982015609741211,0.023714542388916016,6.994102335140828,9.810399812409937
3,0.02489495277404785,0.031159162521362305,6.354242267766708,16.61514436547253
4,0.02230048179626465,0.0436859130859375,5.20312313856629,11.015490281521341
5,0.006929636001586914,0.01770186424255371,4.852150587841527,12.792821264056515
6,0.01569819450378418,0.039286136627197266,5.409230995378741,8.921686973412974
7,0.09024930000305176,0.010126113891601562,4.427384531937376,16.574568797084506
8,0.1307697296142578,0.022302627563476562,6.663688452702543,10.973895780391112
9,0.030236244201660156,0.04105186462402344,6.6172259905410975,8.877576799973687
